0;Fields group;Management of the resource;;;;;;;;;;;;Metadata of the text (description of item);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Link(s) to related resources;;0
0;;;;;;;;;;;;;;;;;;;;;;;;Text type;;;;;Language(s) and script(s);;;;;;;;;;;;Lettering format;;;;;;;;;;Filiation;;;;;;Rights;;;;0
0;Fields;Identifier of the resource;Origin of the metadata;Editor of the metadata;Date of the edition;Contributor of the metadata;Date of contribution;Type of contribution;Reviewer;Date of review;Project;Corpus;Distribution rights of the metadata;Identifier of the text;Designation;Alternative identifier;Alternative designation;Alternative designation;Alternative designation;Alternative designation;Alternative designation;Location on the artefact/conglomerate artefact/monument;ID of the artefact/conglomerate artefact/monument;Text type 1;Text type 2;Text type 3;Text type 4;Lines;Language 1;Script classification 1;Script maturity 1;Language 2;Script classification 2;Script maturity 2;Language 3;Script classification 3;Script maturity 3;Language 4;Script classification 4;Script maturity 4;Lettering technique;Height of text;Width of text;Lines;Height of glyph;Width of glyph;Date CE;Date interval CE;Date precision;Date evidence;Duplicate ID;Reissue ID;Reissue date;Bibliographical references;Keyword(s);Remarks;Project responsible for publication;Distribution rights of the text;Identifier of the surrogate;Identifier of the digital image;0
0;Description of the fields;Digital identifier of the inscription as text - Syntax: INS<corpus>00001;Origin of the metadata: database or publication;Person(s) who supplied/edited metadata in this row (use the DHARMA members' Ids and separate them by space, if more than one editor);Date of metadata input/editing (YYYY-MM-DD);Person(s) who modified metadata in this row;Date of metadata modification (YYYY-MM-DD);Type of metadata modification (free text);Validation of the row of metadata and validating person;Date of metadata review (YYYY-MM-DD);Project responsible for making these metadata available;Corpus to which the inscription pertains;Licence applicable to metadata;Identifier of the text - Syntax: INS<corpus>00001;Designation of the text;Alternative identifier(s);Alternative designation(s);Alternative designation(s);Alternative designation(s);Alternative designation(s);Alternative designation(s);Location on the artefact/conglomerate artefact/monument (free text);ID of the artefact/conglomerate artefact/monument bearing the text;Text type 1;Text type 2 (if there is more than one text type);Text type 3 (if there is more than one text type);Text type 4 (if there is more than one text type);Number of lines in the text;Language of the text;Script of the text;Maturity of script (if the script classification is Brahmi and derivatives only);Language of the text;Script of the text;Maturity of script (if the script classification is Brahmi and derivatives only);Language of the text;Script of the text;Maturity of script (if the script classification is Brahmi and derivatives only);Language of the text;Script of the text;Maturity of script (if the script classification is Brahmi and derivatives only);Writing technique (engraved, relief, painted, etc.);Height of the inscribed zone (cm);Width of the inscribed zone (cm);Number of lines observed on the artefact;Height of an average aksara (cm);Width of an average aksara (cm);YYYY-MM-DD or YYYY-MM or YYYY;YYYY-YYYY;precision of the text datation;evidence that indicates the date of the text;ID of the corresponding text;ID of the corresponding text;Saka date of reissue (YYYY);Bibliographical references. Use $ to separate the references;Terms to characterize the inscription. The choice of keywords is free, use $ to separate terms;Remarks on text-related metadata (free text);Project responsible for making this text edition available;Licence applicable to the text edition;Identifier(s) of the related surrogate(s). Use $ to separate the identifiers;Identifier(s) of the related digital image(s). Use $ to separate the identifiers;0
;;INSPandya00001;;vagi;2021-12-13;;;;;;DHARMA;Pandya;CC0;INSPandya00001;;;;;;;;;;;;;;;Tamil;brahmi_and_derivatives - southern_class_brahmi - tamil_script;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00002;;vagi;;;;;;;DHARMA;Pandya;CC0;INSPandya00002;;;;;;;;;;;;;;;Tamil;brahmi_and_derivatives - southern_class_brahmi - tamil_script;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00003;;vagi;;;;;;;DHARMA;Pandya;CC0;INSPandya00003;;;;;;;;;;;;;;;Tamil;brahmi_and_derivatives - southern_class_brahmi - tamil_script;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00004;;vagi;;;;;;;DHARMA;Pandya;CC0;INSPandya00004;;;;;;;;;;;;;;;Tamil;brahmi_and_derivatives - southern_class_brahmi - tamil_script;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00005;;vagi;;;;;;;DHARMA;Pandya;CC0;INSPandya00005;;;;;;;;;;;;;;;Tamil;brahmi_and_derivatives - southern_class_brahmi - tamil_script;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00006;;vagi;;;;;;;DHARMA;Pandya;CC0;INSPandya00006;;;;;;;;;;;;;;;Tamil;brahmi_and_derivatives - southern_class_brahmi - tamil_script;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00007;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00007;;;;;;;;;;;;;;;Tamil;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00008;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00008;;;;;;;;;;;;;;;Tamil;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00009;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00009;;;;;;;;;;;;;;;Tamil;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00010;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00010;;;;;;;;;;;;;;;Tamil;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00011;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00011;;;;;;;;;;;;;;;Tamil;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00012;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00013;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00014;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00015;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00016;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00017;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00018;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00019;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00020;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00021;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00022;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00023;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00024;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00025;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00026;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00027;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00028;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00029;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00030;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00031;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00032;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00033;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00034;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00035;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00036;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00037;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00038;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00039;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00040;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00041;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00042;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00043;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00044;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00045;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00046;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00047;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00048;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00049;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00050;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00051;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00052;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00053;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00054;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00055;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00056;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00057;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00058;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00059;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00060;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00061;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00062;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00063;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
